date,variant_00,variant_01,variant_02,variant_03,variant_04,variant_05,variant_06,variant_07,variant_08,variant_09,variant_10,variant_11,variant_12,variant_13,variant_14,variant_15,variant_16,variant_17,variant_18,variant_19
2022-01-03,-0.016691,-0.00356,-0.010606,0.004669,0.010499,0.003438,0.006288,0.009979,-0.002365,-0.02264,-0.008344,0.003513,0.006677,0.035268,0.006309,-0.01305,-0.003608,-0.013969,0.00606,-0.011281
2022-01-04,0.009031,-0.014806,-0.005341,0.001638,-0.006685,-0.002523,-0.002219,0.004181,-0.004313,0.002723,0.000568,0.004246,0.002249,0.016577,-0.006637,0.011992,-0.004026,-0.009579,0.012112,-0.004395
2022-01-05,-0.003876,-0.013887,-0.020982,0.006343,-0.011653,0.007783,0.018482,-0.001148,-0.011266,0.003942,0.007617,-0.002618,0.000175,0.013353,0.012655,0.0071,-0.008664,-0.000537,0.006029,-0.002119
2022-01-06,-0.0061,-0.007654,-0.00632,-0.006716,-0.004511,0.011457,-0.008006,0.008869,0.004176,0.001397,-0.008274,-0.004567,0.019736,0.000991,0.005382,0.00663,0.010556,-0.002375,-0.006102,-0.000596
2022-01-07,-0.002608,0.007907,0.001896,0.002393,0.00145,0.012284,-0.005426,-0.004784,0.008851,-0.001064,0.003609,-0.00729,0.000233,0.004318,-0.013274,-0.006949,0.004231,0.022488,0.004623,-0.000589
2022-01-10,-0.008452,0.003916,-0.025014,-0.000495,-0.003301,-0.005194,0.023204,-0.024735,-0.000223,0.00069,0.004673,-0.016017,-0.004666,-0.014954,-0.001276,0.001959,0.001645,-0.00198,0.001859,0.001774
2022-01-11,0.004051,0.000252,-0.017829,-0.008147,0.003456,-0.009103,-0.007984,0.001134,-0.000455,0.008938,0.005119,-0.004351,0.001143,-0.028589,-0.007974,-0.001474,-0.023872,-0.003224,0.002516,0.01035
2022-01-12,0.004029,0.018843,0.01528,-0.016344,-0.002261,-0.001562,0.000917,-0.005727,0.006104,0.00745,-0.015243,0.009454,-0.006475,0.010563,0.005647,-0.001305,0.019884,0.008902,0.000323,0.00249
2022-01-13,0.024151,0.014171,0.009497,0.002152,0.005628,0.001485,-0.015258,0.008857,0.004148,-0.013506,-0.006423,-0.00248,0.003257,0.017289,0.000177,-0.019412,0.006498,-0.001681,-0.017428,-0.022817
2022-01-14,-0.010643,0.003783,-0.007584,0.005997,-0.002811,0.001837,0.007029,0.005789,-0.010525,0.019281,-0.019773,-0.00188,-0.010216,0.011902,-0.013105,-0.010341,-0.01139,-0.013783,-0.005728,0.001802
